id|enun|op1|op2|op3|op4|op5|resp|year|idimg
493|Una de las afirmaciones siguientes con respecto al dolor visceral abdominal es falsa:|El dolor visceral se transmite por el sistema autónomo simpático.|El peritoneo visceral es sensible al estiramiento.|El dolor visceral suele referirse a la línea media del abdomen.|El peritoneo visceral es sensible a estímulos térmicos.|El dolor visceral es definido como profundo y difícil de localizar por el paciente.|4|2011|0
494|En cirugía laparoscópica ¿cuál es el gas más utilizado para la creación del neumoperitoneo?|Argón.|Anhídrido carbónico.|Óxido nitroso.|Helio.|Oxígeno.|2|2011|0
495|En un paciente diagnosticado de traumatismo hepático mediante TC, el criterio más importante para suspender el tratamiento conservador y proceder a la intervención quirúrgica es:|Presencia de hematocrito inferior a 30%.|Que se evidencie dolor, ileo paralítico y distensión abdominal.|Que se produzcan modificaciones de las lesiones hepáticas ya descritas en las sucesivas TC de control que se realicen.|Presencia de leucocitosis.|Que se produzca inestabilidad hemodinámica del paciente.|5|2011|0
496|Una mujer de 53 años presenta una estenosis mitral moderada aislada, mantiene ritmo sinusal, presenta buena capacidad funcional y sigue revisiones periódicas. En la exploración física esperaría encontrar:|Soplo telesistólico mitral irradiado a axila.|Soplo protodiastólico en foco mitral e hipertensión arterial sistólica.|Soplo mesodiástólico en foco mitral, posible chasquido de apertura previo y tonos cardiacos rítmicos.|Soplo protodiastólico en foco mitral, tonos cardiacos irregulares y soplo sistólico aórtico.|Soplo mesosistólico y diastólico en borde esternal izquierdo.|3|2011|0
497|Un hombre de 85 años sin antecedentes previos refiere que desde hace meses tiene disnea y fatiga ante los esfuerzos. Además esta semana cuando subía por una cuesta ha perdido de forma brusca el conocimiento y se ha recuperado en pocos segundos sin ninguna consecuencia. La presión arterial es 100/60 mmHg y se ausculta un soplo mesosistólico grado III que se transmite en dirección ascendente a lo largo de las carótidas. Respecto a la patología que padece este paciente ¿cuál de las siguientes afirmaciones es FALSA?|Antes de plantear un tratamiento es importante practicar un cateterismo del lado izquierdo del corazón y de las arterias coronarias.|Se debe recomendar al paciente evitar el ejercicio físico excesivo.|Antes de plantear un tratamiento es importante practicar un ecocardiograma.|El pronóstico de vida de este paciente sin ningún tratamiento es entre 2 y 3 años desde el momento del diagnóstico.|En este paciente no es posible el tratamiento quirúrgico por el elevado riesgo de complicaciones y mortalidad al ser un paciente de edad avanzada.|5|2011|0
498|Tras el alta hospitalaria en un paciente que ha sufrido un infarto agudo de miocardio todo lo siguiente está indicado EXCEPTO:|Antiagregantes plaquetarios.|Tratamiento con betabloqueantes.|Abandono hábito tabáquico.|Control estricto de niveles de colesterol LDL.|Reposo.|5|2011|0
499|Enfermo de 60 años con cardiopatía hipertensiva grave con engrosamiento de las paredes del ventrículo izquierdo y con funcion sistólica normal. Había acudido a una fiesta de despedida de soltero y comió, como los demás, embutidos y mariscos. Varias horas después comenzó con disnea y ortopnea. No refería dolor torácico. Su TA estaba en torno a 150/95 mmHg como había tenido otras veces. Se auscultaron crepitantes pulmonares bilaterales. ¿Cuál es el diagnóstico más probable?|Crisis hipertensiva.|Insuficiecia cardiaca por disfunción sistólica.|Derrame pericárdico.|Tromboembolismo pulmonar.|Insuficiencia cardiaca diastólica.|5|2011|0
500|Paciente de 75 años de edad, ex-fumador, con índice de masa corporal de 27 kg/m2. Antecedentes familiares de HTA y DM tipo 2. Acude a urgencias refiriendo tos seca nocturna que le interrumpe el sueño desde hace una semana asociada a disnea la pasada noche. En los dos últimos meses ha experimentado disnea al subir escaleras y edemas en ambos tobillos antes de acostarse. A la exploración física presenta TA 158/99 mmHg, FC 98 lpm, saturación capilar de oxigeno 97%, FR 16 rpm. Soplo sistólico aórtico con refuerzo del segundo ruido. Hipofonesis generalizada con aisladas sibilancias en ambos campos pulmonares. Abdomen sin hallazgos. Rx de tórax sin alteraciones. En el ECG se observan ondas R elevadas en V5 y V6 con complejo STT negativo. Señale entre las siguientes hipótesis diagnósticas la más probable:|Embolia pulmonar.|Bronquitis aguda.|Miocardiopatía hipertensiva.|Cardiopatía isquémica estable.|Enfermedad pulmonar obstructiva crónica agudizada.|3|2011|0
501|Una paciente de 38 años sin antecedentes de cardiopatía ni problemas broncopulmonares conocidos acude al servicio de Urgencias por presentar palpitaciones rápidas y regulares de comienzo brusco. La TA es de 110/80 mmHg, el pulso es regular a 195 lpm y la saturación arterial de O2, respirando aire ambiente, es de 96%. El ECG muestra una taquicardia regular de QRS estrecho a 195 lpm en la que no es discernible la onda P. ¿Cual sería el tratamiento de primera elección?|Adenosina 6 mg iv en bolo.|Cardioversión eléctrica con choque DC sincronizado de 200 Julios.|Digoxina 1 mg iv en bolo.|Flecainida 2 mg/kg iv en 20 minutos.|Amiodarona 5 mg/kg iv en 30 minutos.|1|2011|0
502|Acude a nuestra consulta una mujer de 35 años de edad con antecedentes de hipertensión arterial esencial desde hace 4 años. La paciente ha estado bien controlada con Enalapril 20 mg cada 12 horas. Desde hace dos meses está embarazada y es remitida por su médico de atención primaria para seguimiento. Tras el estudio pertinente decidimos hacer una serie de medidas ¿cuál es la correcta?|Mantener el mismo tratamiento ya que está bien controlada.|Reducir la dosis del comprimido ya que posiblemente necesite menos dosis.|Retirar la medicación hipotensora ya que la tensión está bien controlada.|Cambiar a un Antagonista de los Receptores de la Angiotensina II porque producen menos tos y edemas en miembros inferiores.|Cambiar a alfametildopa.|5|2011|0
503|Paciente de 47 años de edad que consulta en el Servicio de Urgencias por una pérdida brusca de conciencia. ¿Cuál entre los siguientes, tiene un mayor rendimiento diagnóstico?|Registro Holter.|Historia clínica.|Electroencefalograma.|Electrocardiograma.|TC de cráneo.|2|2011|0
504|¿Cuál es el diagnóstico de un paciente portador de una bioprótesis en posición mitral que presenta un infarto agudo de miocardio y dos días después y de forma brusca desarrolla hipotensión, soplo pansistólico y edema agudo de pulmón ?|Miocardiopatia postinfarto.|Insuficiencia mitral postinfarto.|Aneurisma ventricular.|Comunicación interventricular postinfarto.|Taponamiento cardiaco.|4|2011|0
505|Paciente de 59 años con antecedentes de hipertensión arterial de unos 10 años de evolución y tabaquismo. Su padre falleció súbitamente a los 62 años. Acude al Servicio de Urgencias refiriendo dolor torácico muy intenso de inicio brusco unas 4 horas antes que se ha desplazado a la región interescapular. En la exploración presenta palidez, sudoración profusa, TA 190/104 mmHg, FC 108 lpm y pulsos radiales muy diminuídos; se ausculta soplo diastólico en borde esternal izquierdo. El ECG revela taquicardia sinusal con aumento del voltaje del QRS en varias derivaciones y descenso del ST y T negativa asimétrica en I aVL y de V4 a V6. ¿Cuál es el diagnóstico más probable?|Tromboembolismo pulmonar.|Miopericarditis aguda.|Vasoespasmo coronario.|Síndrome coronario agudo.|Disección aórtica aguda.|5|2011|0
506|En una neumonía de lóbulo inferior derecho asociada a derrame pleural metaneumónico, ¿Cúales serían los hallazgos semiológicos más probables?|Reducción de la transmisión de las vibraciones vocales en hemitórax derecho. Crecipantes inspiratorios y broncofonía homolateral.|Matidez a la percusión en hemitórax derecho. Sonido pulmonar reducido y roncus en el mismo hemitórax.|Inspección y palpación del tórax normal. Crepitantes homolaterales en la auscultación.|Matidez a la percusión en hemitórax derecho. Aumento de la transmisión vocal y roncus difusos homolaterales.|Reducción de la transmisión de las vibraciones vocales en hemitórax derecho. Murmullo vesicular normal en el mismo hemitórax.|1|2011|0
507|Un hombre de 40 años, turista extranjero, es remitido a un centro de urgencias por bajo nivel de conciencia, temperatura de 37.7ºC y disnea. No tiene traumatismos. Se realizan varias pruebas. La más inmediata es una gasometría arterial sin oxigenoterapia que muestra pH 7.33, PCO2 50 mmHg, PO2 65 mmHg, HCO3- 27 mEq/l. Señale el diagnóstico más probable entre los siguientes:|Neumonía lobar.|Bronconeumonía.|Hipoventilación alveolar.|Edema agudo de pulmón.|Tromboembolismo pulmonar.|3|2011|0
508|Un paciente diagnosticado previamente de EPOC acude a urgencias por un cuadro de 3 días de duración con aumento de su disnea habitual hasta hacerse de reposo, tos con expectoración blanquecina y somnolencia acentuada. Tras recibir tratamiento con oxígeno a bajas concetraciones broncodilatadores y corticoides se realiza una segunda gasometría arterial con fracción inspiratoria de oxígeno al 28% que muestra un pH de 7.32, PO2 61 mmHg, PCO2 58 mmHg, HCO3- 29 mmol/L. ¿Cuál sería la interpretación que haría usted de la gasometría arterial y qué tratamiento utilizaría?|Añadiría aminofilina intravenosa como estimulante respiratorio, ya que aprecio hipoxemia e hipercapnia.|Añadiría bicarbonato sódico para corregir la acidosis metabólica aguda.|Aumentaría el flujo del oxígeno porque tiene acidosis respiratoria aguda e hipoxemia.|El paciente no tiene insuficiencia respiratoria por lo que continuaría con la misma pauta farmacológica.|Iniciaría ventilación mecánica no invasiva porque tiene una insuficiencia respiratoria hipercápnica aguda con acidosis respiratoria moderada.|5|2011|0
509|Un hombre de 30 años sano se realiza una radiografía de tórax para formalizar un contrato laboral en una empresa. En la radiografía se observa un patrón intersticial bilateral de tipo reticular, adenopatías hiliares bilaterales y mediastínicas. Se indica una broncofibroscopia con lavado broncoalveolar que en el recuento celular muestra los siguientes resultados: linfocitos 50%, histiocitos 40%, eosinofilos 2%, polimorfonucleares 8% y el cociente CD4/CD8 5. ¿Cuál es el diagnóstico más probable?|Neumoconiosis.|Sarcoidosis.|Linfangitis carcinomatosa.|Alveolitis alérgica extrínseca.|Hemosiderosis pulmonar idiopática.|2|2011|0
510|Una mujer de 58 años ingresa en la Unidad de Corta Estancia Médica por un cuadro clínico que comenzó con un episodio de síncope y a continuación presentó sensación de mareo y disnea. En la exploración física se encuentra sudorosa, afebril a 126 lpm y a 30 rpm, con una presión arterial de 88/46 mmHg y una saturación de oxígeno del 85% mientras respira aire ambiente. La auscultación cardíaca muestra taquicardia sin soplos ni galope y la auscultación pulmonar es normal. Los análisis de sangre rutinarios y la Rx de tórax no muestran alteraciones. ¿Cuál de las siguientes pruebas diagnósticas considera que es más recomendable en este caso?|Electrocardiograma y determinación de Dímeros-D, troponina y BNP.|TAC craneal.|Colocación de sonda nasogástrica y determinación de hematocrito .|Gammagrafía de ventilación/perfusión.|AngioTC torácico.|5|2011|0
511|Paciente de 71 años, fumador de 2 paquetes de cigarrillos/día desde hace 50 años, con buena calidad de vida previa y sin otros antecedentes patológicos de interés que consulta por tos y expectoración hemoptoica. A la exploración física no se aprecian datos patológicos significativos. En la radiografía simple de tórax se evidencia una masa de 4 x 3,4 cm inferior derecha, hallazgo que se confirma en la TC toracoabdominal que localiza la lesión en el lóbulo inferior y no halla adenopatías ni imágenes de metástasis. La broncoscopia objetiva una lesión infiltrante en la pirámide basal derecha cuya biopsia es de carcinoma epidemoide bien diferenciado. En cuanto a las pruebas de función respiratoria la FVC es de 3.300 cc (84%) y la FEV1 de 2.240 cc (80%). ¿Cuál debería ser el siguiente paso a seguir en este paciente?|Debe contraindicarse la intervención quirúrgica con intención curativa por la edad avanzada del paciente.|Debe realizarse una punción transtorácica.|Realizar una mediastinoscopia.|Debe indicarse la resección quirúrgica (lobectomía del lóbulo inferior del pulmón derecho) de forma directa.|Se debe llevar a cabo un test de consumo de oxígeno, dada la limitación respiratoria que presenta.|4|2011|0
512|Un paciente de 56 años sin antecedentes personales ni familiares de interés es estudiado por presentar desde hace 6 meses dificultad para andar con la pierna derecha. No refiere otros síntomas. La exploración muestra una debilidad 4/5 para la flexión dorsal y eversión del pie y 4/5 para flexión e inversión del pie, estando los reflejos musculares aumentados y con Babinski presente, siendo el resto normal. El diagnóstico sindrómico sería:|Mononeuropatía múltiple con afectación de N. peroneo común y tibial posterior derecho.|Afectación focal de primera motoneurona y probable de segunda.|Mononeuropatía del N. peroneo común derecho.|Afectación hemimedular derecho (Brown-Sequard).|Plexopatía lumbar derecha.|2|2011|0
513|El tratamiento fibrinolítico con R-TPA por vía i.v. está indicado en los pacientes con ictus isquémico agudo. ¿Cuál es el tiempo de inicio de tratamiento que ha demostrado ser eficaz?|Durante las primeras 3 horas.|No existe un tiempo límite para iniciar el tratamiento.|Durante la primera semana.|Durante las primeras 24 horas.|Durante las primeras 12 horas.|1|2011|0
514|¿Cuál de las siguientes afirmaciones NO es cierta respecto a la cefalea en racimos?|Duración media del episodio 8 horas.|Puede volverse crónica.|Más frecuente en varones.|Aparición nocturna.|Presencia de síntomas vegetativos.|1|2011|0
515|En un paciente diagnosticado de epilepsia que presenta episodios de falta de respuesta a estímulos externos, movimientos irregulares de las cuatro extremidades, ojos cerrados, emisión de llanto y movimientos pélvicos, de cinco a veinte minutos de duración y que no responden al tratamiento con fármacos antiepilépticos. ¿Cuál es el estudio complementario con mayor probabilidad de aclarar el diagnóstico?|Resonancia magnética cerebral para detectar lesiones epileptógenas (displasia cortical, tumor, esclerosis temporal media).|Determinación de glucemia capilar para diagnóstico de hipoglucemia.|Holter ECG para diagnóstico de cardiopatía arrítmica.|EEG de rutina para diagnóstico del tipo de epilepsia (generalizada o focal).|Monitorización vídeo-EEG para diagnóstico de pseudocrisis (crisis psicógenas).|5|2011|0
516|¿Cuál de los siguientes subtipos celulares NO participa en la inmunopatología de la esclerosis múltiple?|Basófilos.|Linfocito T CD4+.|Macrófagos.|Linfocito T CD8+.|Linfocitos B.|1|2011|0
517|En relación con la demencia con cuerpos de Lewy indique la opción falsa:|El parkinsonismo se incluye entre los criterios diagnósticos.|La respuesta a la levodopa suele ser escasa y transitoria.|Los neurolépticos deben utilizarse en la mayoría de pacientes para controlar los trastornos conductuales.|Los síntomas psicóticos son frecuentes, predominando las alucinaciones visuales.|Son frecuentes las fluctuaciones cognitivas y atencionales.|3|2011|0
518|El gen de la apolipoproteína epsilon, en el cromosoma 19, posee tres alelos, E2, E3, E4. Se conoce que interviene en el transporte del colesterol, su forma E4 se considera un factor de riesgo para:|Enfermedad de Parkison.|Enfermedad de CADASIL (arteriopatía cerebral autosómica dominante con infartos cerebrales y leucoencefalopatía).|Corea de Huntington.|Enfermedad de Alzheimer.|Ataxia-teleangiectasia.|4|2011|0
519|Un hombre de 64 años, diagnosticado de miastenia gravis hace 1 año, en tratamiento con esteroides a dosis bajas (3 mg/día de deflazacort) y anticolinesterásicos, asintomático desde hace 6 meses, consulta por leve difilcutad para tragar y diplopia vespertinas desde hace unos días. Ingresa en el hospital por sospecha de crisis miasténica y se inicia tratamiento de la misma. Al día siguiente la enfermera avisa a las 03 h de la madrugada porque el paciente hace un ruido extraño al inspirar, como un ronquido suave, el paciente está profundamente dormido y muy sudoroso, pero no impresiona de estar fatigado. ¿Qué actitud es más correcta?|Disminuir la dosis de esteroides; si tiene una miopatía esteroidea mejorará.|Pedir una TC torácica para descartar timoma compresivo sobre la tráquea asociado a la miastenia.|Hacer estudio polisomnográfico para descartar apnea del sueño.|Tranquilizar a la enfermera y a la familia, pues el paciente en roncador habitual y está tranquilamente dormido. Se debe colocar en decúbito lateral.|Avisar a cuidados intensivos por sospecha de insuficiencia respiratoria aguda, para valorar posible intubación orotraqueal y ventilación asistida.|5|2011|0
520|Mujer de 51 años que acude a Urgencias por disminución brusca de agudeza visual, cefalea intensa, náuseas y vómitos. Hipotensa y afebril. Presenta oftalmoparesia derecha por afectación de III par craneal. Una TC craneal evidencia una masa en la región selar hiperdensa con erosión de las apófisis clinoides anteriores. ¿Cuál es la actitud a seguir?|Determinación de bioquímica y hemograma urgentes, inicio de terapia con corticosteroides a dosis elevadas y cirugía transesfenoidal urgente.|Sospecharía meningitis química derivada de la rotura de un tumor epidermoide selar e iniciaría de inmediato tratamiento con corticosteroides.|Ingreso en UCI y tratamiento del shock que padece la paciente, y una vez estabilizada practicar resonancia cerebral para cirugía programada.|Punción lumbar para descartar meningitis bacteriana-previo inicio de antibioterapia empírica. Una vez estabilizada la paciente estudio de la masa selar.|Indicaría la realización de una angiografía cerebral para descartar un aneurisma, ya que lo más probable es que estemos ante un caso de hemorragia subaracnoidea y la masa que se evidencia en la TC sea un aneurisma trombosado paraselar.|1|2011|0
521|Diez días después de practicarle una hemitiroidectomía a una paciente con un nódulo tiroideo de 1,5 cm recibe el siguiente informe definitivo por parte del anatomopatólogo: "patrón folicular muy celular sin invasión capsular que invade los vasos sanguíneos y nervios adyacentes". Señale la respuesta correcta:|El patrón folicular es indicación de vaciamiento ganglionar cervical profiláctico.|La medición de la calcitonina plasmática nos permitirá diferenciar entre un carcinoma papilar y folicular.|El informe permite descartar un carcinoma papilar con total seguridad en el tiroides remanente.|Como no existe invasión capsular no es conveniente realizar más cirugía.|Se trata de un carcinoma folicular y requiere completar la tiroidectomía.|5|2011|0
522|En una mujer obesa de 42 años se le realiza determinación del cortisol en sangre, orina y saliva y en todas las determinaciones está elevado. Tras la realización del test de supresión nocturna con dexametasona, los niveles de cortisol en sangre permanecen elevados, por lo que se sospecha síndrome de Cushing ACTH independiente, ¿qué prueba adicional solicitaría para confirmar el diagnóstico en este momento?|Una ecografía abdominal.|Un cateterismo de senos petrosos.|Una gammagrafía con somatostatina marcada (Octreoscan).|Una TC de suprarrenales.|Una gammagrafía con Sesta-MIBI.|4|2011|0
523|Una estudiante de 22 años sin antecedentes patológicos ni uso de medicamentos salvo anovulatorios acude a Urgencias por deterioro del estado general y necesidad de respirar profundamente. Refiere haber perdido peso en los 2-3 últimos días, polidipsia, poliuria y náuseas. No tos ni sensación febril. Exploración: aspecto de gravedad, presión arterial 100/60 mmHg, respiración profunda y rápida (28 rpm), nivel de conciencia conservado, sequedad de mucosas. No fiebre. Analítica: glucemia 420 mg/dL, Na+ 131 mEq/L, K+ normal, pH 7,08, bicarbonato 8 mEq/L y cetonuria (+++). ¿Qué respuesta le parece más correcta?.|Debut de diabetes tipo 1 con cetoacidosis. Tratar con bicarbonato y tras corregir la acidosis, añadir insulina endovenosa.|Es una cetoacidosis diabética. Hay que tratar con insulina endovenosa, sueroterapia, medidas generales y buscar causa precipitante.|Debut de una diabetes mellitus tipo 2, con disnea probablemente por neumonía o tromboembolismo, ya que toma anovulatorios.|Parece una cetoacidosis diabética, pero podría ser alcohólica. Se debe determinar la alcoholemia antes de iniciar tratamiento con insulina.|Tratar con insulina rápida subcutánea, sueroterapia y pedirle que beba líquidos en abundancia.|2|2011|0
524|En la patogenia de la cetoacidosis diabética.|Es deteminante el aumento del umbral renal de glucosa.|Existe una reducción en la producción de acetoacetato hepático.|Existe una menor lipólisis.|Aumenta el aporte de ácidos grasos libres al hígado.|Existe una reducción en los niveles de las hormonas de contra regulación.|4|2011|0
525|La neoplasia endocrina mútiple (MEN) tipo I, o síndrome de Wermer asocia:|Carcinoma medular de tiroides, insulinoma y glioblastoma.|Hiperparatiroidismo, feocromocitoma y carcinoma medular de tiroides.|Hiperparatiroidismo, cáncer microcítico de pulmón y tumor carcinoide.|Tumores hipofisarios, hiperparatiroidismo y síndrome de Zollinger-Ellison.|Insulinoma, tumor de células claras renal y hepatocarcinoma.|4|2011|0
526|Niña de 14 años que consulta por disminución del crecimiento desde hace 2-3 años previamente normal (aporta datos) y que las demás niñas de su edad tienen un mayor desarrollo físico y sexual. Últimamente tiene cefaleas y problemas visuales que nota en clase y al estudiar. No ha tenido la menarquia ni polidipsia o poliuria. Padres con talla normal. Exploración: talla baja situada en -2,1 desviaciones estándar, proporciones corporales normales, poco vello pubiano y desarrollo mamario. La campimetría muestra hemianopsia parcial temporal izquierda. Edad ósea: retraso de 2 años. Analítica general normal. Gonadotrofinas (FSH y LH) y estradiol bajos. ¿Cuál le parece la respuesta más idónea?|No debe tener un tumor hipotalámico por la ausencia de poliuria y polidipsia. Seguramente tenga retraso constitucional y su problema visual sea de refracción.|La disminución del crecimiento y desarrollo sexual, edad ósea retrasada, cefalea y alteración visual sugieren déficit hormonal y compromiso del quiasma óptico.|Podría tener un craneofaringioma, pero sería raro que no hubiera dado síntomas antes. Además, no justificaría las gonadotrofinas y estradiol bajos.|Al ser una niña en edad puberal, lo más probable es que su disminución de crecimiento y retraso sexual sean debidos a un síndrome de Turner.|Un déficit de hormona de crecimiento puede explicar el retraso del desarrollo y estradiol bajo. Valorar si precisa gafas, por sus cefaleas y alteraciones visuales.|2|2011|0
527|Chico de 15 años que presenta dolor intenso en pierna derecha mientras descendía por una escalera. Se realiza una radiografía que muestra una fractura en peroné derecho. En la historia clínica realizada destaca la presencia de fracturas previas en ausencia de traumatismo intenso. La exploración física es normal. El estudio de metabolismo fosfocálcico realizado no muestra alteraciones. La densitometría presenta los siguientes datos T-score en columna lumbar -1.2 y T-score en cadera total -0.8. El diagnóstico más probable es:|Síndrome de Ehlers-Danlos.|Síndrome de Marfan.|Osteogénesis imperfecta.|Osteoporosis idiopática del varón.|Osteomalacia.|3|2011|0
528|Ante un paciente con una cirugía abdominal urgente usted tiene su informe de quirófano en el cual nos señalan que se ha realizado una resección de todo el duodeno y del tercio proximal del yeyuno manteniendo íntegros el estómago y todo el ileon así como los dos tercios distales del yeyuno. En el seguimiento nutricional del paciente, ¿qué vitamina o mineral presentará con menos probabilidad una disminución de su absorción y por tanto no produciría manifestaciones clínicas secundarias a su déficit?|Hierro.|Vitamina B12.|Calcio.|Magnesio.|Ácido fólico.|2|2011|0
529|Un paciente de 65 años, que como únicos antecedentesmédicos padece hipertensión arterial y es exfumador desde hace 10 años, acude a revisión. Se encuentra asintomático y su exploración es normal, índice de masa corporal 28 Kg/m2 y presenta con medicación hipotensora TA 130/80 mmHg. Sus valores analíticos basales son: glucemia 120 mg/dl, HbA1c 7.4%, LDLc 135mg/dl, HDLc 40 mg/dl. Considera respecto al tratamiento de los niveles de lípidos que:|Por ser prevención primaria y tener menos de dos factores de riesgo, no requiere tratamiento farmacológico hasta que alcance valores de LDLc >190 mg/dl.|Por padecer una diabetes mellitus tipo 2 y tener tres factores de riesgo, precisa tratamiento hipolipemiante.|Debería estudiarse si cumple criterios de diabetes mellitus tipo 2. Mientras tanto sólo precisa modificación de los cambios de vida y no tratamiento hipolipemiante.|Por tener tres factores de riesgo, aunque pueda padecer o no diabetes mellitus tipo 2, precisa tratamiento hipolipemiante.|Por tener menos de dos factores de riesgo no precisa tratamiento hipolipemiante.|3|2011|0
530|Que etiología habría que suponer ante una anemia de 5 gr/dl de Hb, VCM de 125 fl, reticulocitos de 2 por mil, LDH 5 veces superior al límite normal e hiperbilirrubinemia no conjugada.|Anemia hemolítica.|Talasemia.|Enfermedad de Wilson.|Anemia de los trastornos crónicos.|Anemia por carencia de vitamina B12.|5|2011|0
531|Un paciente de 74 años de edad es diagnosticado de leucemia linfática crónica B estadio IIB de RAI-BINNET. Tras recibir 6 ciclos de fludarabina, presenta astenia importante y palidez de la piel y mucosas. En la analítica destaca: leucocitos 5600/uL con fórmula normal, hemoglobina 3 gr/dl y plaquetas 250000/uL. Reticulocitos 0%. Niveles normales de LDH y test de Coombs directo negativo. El diagnóstico más probable es:|Anemia hemolítica autoinmune.|Progresión de la enfermedad a leucemia prolinfocítica B.|Síndrome de lisis tumoral.|Aplasia pura de células rojas.|Síndrome de Richter.|4|2011|0
532|En cuál de las siguientes circunstancias está indicada la transfusión de unidades de plaquetas en un paciente con púrpura trombocitopénica idiopática (PTI)|5.000 plaquetas/mm3, Hb 12 g/dl, VCM 85 fl, TA 120/60 mmHg, FC 80 lpm.|80.000 plaquetas/mm3, Hb 8,5 g/dl, VCM 71 fl, FC 85 lpm, TA 110/60 mmHg.|11.000 plaquetas/mm3, melenas, Hb 10 g/dL, VCM 85 fl, TA 85/60 mmHg, FC 115 lpm.|50.000 plaquetas/mm3, epistaxis, Hb 13 g/dl, TA 130/60 mmHg, FC 70 lpm.|7.000 plaquetas/mm3, púrpura en extremidades inferiores, Hb 13 g/dl, FC 90 lpm, TA 150/85 mmHg.|3|2011|0
533|La hipogammaglobulinemia es un hallazgo frecuente en los enfermos con:|Linfoma folicular.|Leucemia linfática crónica.|Linfoma de Hodgkin.|Linfoma de células grandes.|Tricoleucemia.|2|2011|0
534|Paciente con los siguientes parámetros en sangre periférica: Hb 10 5 gr/dl, leucocitos 11.000/ul con 40% segmentados, 10% cayados, 5% metamielocitos, 4% mielocitos, 1% eosinófilos y 1% basófilos. Normoblastos 5%. Plaquetas 300.000/ul. Morfología de serie roja en sangre: aniso-poiquilocitosis y dacriocitos. En la exploración se palpa esplenomegalia de 12 cm bajo reborde costal. ¿Qué diagnóstico, entre los siguientes, le sugieren estos datos?|Mielofibrosis Primaria.|Leucemia mielomonocítica crónica.|Leucemia linfoblástica aguda.|Leucemia Mieloide Aguda tipo M6 (Eritroleucemia).|Trombocitemia Esencial.|1|2011|0
535|Un paciente de 69 años acude al servicio de urgencias por debilidad, fatiga y epistaxis de repetición. El hemograma muestra anemia (hemoglobina 8,5 g/dl), leucopenia (leucocitos 1200/mm3) y trombopenia (plaquetas 35000/mm3). ¿Cuál es el diagnóstico MENOS probable?|Aplasia medular.|Leucemia mieloblástica aguda.|Leucemia mieloide crónica.|Síndrome mielodisplásico.|Mielofibrosis.|3|2011|0
536|Mujer de 25 años gestante de 9 semanas. Acude a Urgencias por presentar tumefacción de la pantorrilla izquierda de dos días de evolución. Eco-doppler venoso de miembros inferiores: ocupación de la vena poplítea femoral superficial y femoral profunda del miembro inferior izquierdo por material ecogénico con mala compresibilidad de dichos vasos. ¿Cuál sería el tratamiento más adecuado?|Heparina de bajo peso molecular solapada con dicumarínicos al menos los 5 primeros días, hasta obtener INR entre 2 y 3. Después, dicumarínicos solos.|Fibrinolisis con activador tisular del plasminógeno (tPA).|Los anticoagulantes están contraindicados en el embarazo. Sólo medias de compresión fuerte.|Sólo dicumarínicos desde el principio.|Sólo heparina de bajo peso molecular mientras dure el embarazo, pasando a dicumarínicos tras el parto si es preciso prolongar el tratamiento.|5|2011|0
537|Mujer con historia personal y familiar de sangrado por mucosas. El estudio de coagulación presenta un tiempo de hemorragia y tiempo de tromboplastina parcial activado alargados. Actividad de protrombina del 100%. ¿Qué patología de la coagulación le sugieren estos datos?|Enfermedad de Von Willebrand.|Déficit de factor XI.|Déficit de factor VII.|Hemofilia B.|Hemofilia A.|1|2011|0
538|Se trata de una mujer de 35 años que tiene una historia de 5 meses de evolución de poliartritis crónica simétrica que afecta a pequeñas y grandes articulaciones periféricas. Había sido vista previamente por un médico que le había diagnosticado una artritis reumatoide. Elija de las siguientes respuestas que se refieren esta enfermedad la correcta:|Mas del 95% de los pacientes con artritis reumatoide tiene en su suero niveles elevados de factor reumatoide.|El tratamiento estándar en esta paciente debe incluir farmacos modificadores de la enfermedad, de preferencia metotrexato.|La mortalidad por cánceres sólidos y linfomas en estos pacientes está disminuída.|Las erosiones articulares en las articulaciones de las manos y pies en esta enfermedad comienzan a aparecer después de 5 años de evolución.|La mortalidad por enfermedad cardiovascular en estos pacientes esta disminuída.|2|2011|0
539|Un varón de 80 años, diabético de años de evolución, acudió a consulta por rigidez de raquis de 10 años de evolución. En la anamnesis dirigida no refería dolor alguno. La exploración física evidenció una gran disminución de la flexo extensión, flexiones laterales y rotaciones del raquis cervical. El raquis dorsal y lumbar también estaban limitado. La radiología evidenció calcificaciones en la cara antero-lateral de los cuerpos vertebrales formando puentes óseos intervertebrales, que predominaban en lado derecho; el espacio discal estaba conservado. ¿Cuál es su diagnóstico?|Artrosis de raquis.|Espondilitis anquilopoyética.|Mastocitosis.|Melorreostosis.|Hiperostosis anquilosante vertebral de Forestier-Rotes.|5|2011|0
540|Mujer de 25 años que presenta un cuadro de 2 meses de evolución de artritis simétrica en manos, erupción fotosensible, hipertensión arterial y febrícula. Analítica: hemograma con 3.500 leucocitos/mm3, plaquetas 85.000/mm3, creatinina y transaminasas normales. Anticuerpos antinucleares positivos 1/320, antiDNA nativo positivo e hipocomplementemia. ¿Cuál de las siguientes pruebas aportaría información más relevante para el manejo de este caso?|Determinación de anticuerpos antipéptido cíclico citrulinado.|Sistemático de orina.|Aspirado de médula ósea.|Radiografía de manos.|Determinación de anticuerpos anti Sm.|2|2011|0
